tid,tags,EN,oldEN
TID_SETTINGS_BUTTON_HELP,,Помощь & Поддержка,Help & Support
TID_SETTINGS_BUTTON_PRIVACY,,Конфиденциальность,Privacy
TID_SETTINGS_BUTTON_PARENTS,,Родительский справочник,Parent's Guide
TID_SETTINGS_BUTTON_TERMS,,Пользовательское соглашение,Terms of Service
TID_NATIVE_DIALOG_LOGIN_WITH_NON_PRIMARY_ACCOUNT_TITLE,,Новое устройство,New device
TID_NATIVE_DIALOG_LOGIN_WITH_NON_PRIMARY_ACCOUNT_MESSAGE,,"Загрузка прогресса, играйте онлайн для синхронизации между устройствами","Loading latest progress from server, play online to sync between devices"
TID_NATIVE_DIALOG_LOGIN_WITH_NON_PRIMARY_ACCOUNT_BUTTON,,Перезагр.,Reload
TID_ERROR_POP_UP_LOGIN_FAILED_TITLE,,Ошибка Входа,Login failed
TID_ERROR_POP_UP_LOGIN_FAILED,,"Пожалуйста, попробуйте позже.",Please try again later.
TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON,,Попробов. снова,Try again
TID_ERROR_POP_UP_BANNED_TITLE,,Вы были заблокированы!,You have been banned!
TID_ERROR_POP_UP_BANNED,,Вы были заблокированы!,You have been banned temporarily
TID_ERROR_POP_UP_BANNED_BUTTON,,OK,OK
TID_ERROR_POP_UP_BANNED_BUTTON_CONTACT_PS,,Связаться с нами,Contact Support
TID_ERROR_POP_UP_PURCHASE_FAILED_TITLE,,Ошибка покупки,Purchase failed
TID_ERROR_POP_UP_PURCHASE_FAILED,,"Сервер покупок не отвечает. Пожалуйста, попробуйте снова.",Billing server not responding. Please try again later.
TID_ERROR_POP_UP_PURCHASE_FAILED_BUTTON,,ОК,OK
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_TITLE,,Обновление...,Updating to new version
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_MESSAGE,,Мы обновляемся до новой версии Clash Quest. Мы вернемся в кротчайшие сроки!,We are updating to a new version of Clash Quest. Please check back in a short while!
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_BUTTON,,ОК,OK
TID_ERROR_POP_UP_UNLOCK_UNAVAILABLE_TITLE,,Разблокировка аккаунта невозможна,Account unlock unavailable
TID_ERROR_POP_UP_UNLOCK_UNAVAILABLE,,"Разблокировка аккаунта временно недоступна. Пожалуйста, попробуйте снова позже.",Account unlock is unavailable at the moment. Please try again later!
TID_ERROR_POP_UP_UNLOCK_UNAVAILABLE_BUTTON,,Попробов. снова,Try again
TID_POPUP_CONFLICTING_ACCOUNT_TITLE,,Конфликтующий аккаунт,Conflicting Account
TID_POPUP_CONFLICTING_ACCOUNT_TEXT,,"Аккаунт, в который вы пытаетесь войти отличается от локального. Поменять на текущий аккаунт?",The account you are trying to log in with is different from the account stored locally. Switch to the current account?
TID_BUTTON_CONFLICTING_ACCOUNT_YES,,"Да, поменять на текущий аккаунт.","Yes, switch to current account."
TID_BUTTON_CONFLICTING_ACCOUNT_NO,,"Нет, использовать оригинальный аккаунт.","No, use the original account."
TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE_TITLE,,Соединение потеряно,Connection lost
TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE,,Другое устройство подключился к игре,Another device is connecting to this account
TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE_BUTTON,,Перезагр.,Reload
TID_ERROR_POP_UP_UNSUPPORTED_COUNTRY_TITLE,,Ошибка Входа,Login failed
TID_ERROR_POP_UP_UNSUPPORTED_COUNTRY,,"Извините, игра пока недоступна в вашей стране.","Sorry, this game is not available in your country yet."
TID_ERROR_POP_UP_UNSUPPORTED_COUNTRY_BUTTON,,ОК,OK
TID_AVATAR_MESSAGE_SENDER_PLAYER_SUPPORT,,Поддержка,Player Support
TID_AVATAR_MESSAGE_TEXT_GEM_REVOKE,,"Возврат средств был запрошен и было одобрено <refundDate>. Деньги будут возвращены туда, через что была совершена покупка.\n\nГемов было вычтено: <totalRevokedGems>. Возвращение может повлечь за собой негативное кол-во Гемов. Позитивное кол-во Гемов можно вернуть путем покупки в магазине или получения иным внутриигровым способом.","A refund was requested for this account and it has been approved on <refundDate>. The refund will be made to the form of payment used when the order was made.\n\nA total of <totalRevokedGems> gems have been deducted from your account, to match the value of your refund. This may result in a negative gem balance. A positive balance can be restored by making additional orders and collecting resources in-game."
TID_AVATAR_MESSAGE_TEXT_GEM_REVOKE_PLURAL,,"Возврат средств был запрошен и было одобрено <refundDate>. Деньги будут возвращены туда, через что была совершена покупка.\n\nГемов было вычтено: <totalRevokedGems>. Возвращение может повлечь за собой негативное кол-во Гемов. Позитивное кол-во Гемов можно вернуть путем покупки в магазине или получения иным внутриигровым способом.","Refunds were requested for this account and they have been approved on <refundDate>. The refunds will be made to the form of payment used when the orders were made.\n\nA total of <totalRevokedGems> gems have been deducted from your account, to match the value of your refunds. This may result in a negative gem balance. A positive balance can be restored by making additional orders and collecting resources in-game."
TID_SHOP_CATEGORY_PUZZLE_PASS,,Puzzle Pass,Puzzle Pass
TID_SHOP_CATEGORY_CHRONOS_OFFERS,,Специальное Предложения,Special Offers
TID_SHOP_CATEGORY_OFFERS,,Предложения,Offers
TID_SHOP_CATEGORY_PUZZLE_ENERGY,,Наборы Гемов,Gem Packs
TID_SHOP_CANNOT_PURCHASE_MORE,,Вы уже купили все доступные предложения,You have already purchased all the available offers
TID_CANNOT_CHANGE_NAME_TIMER,,Вы сможете сменить имя только через <TIME> часов,You can only change your name every <TIME> hours
TID_BUTTON_ATTACK,,Атаковать,Attack
TID_BUTTON_ATTACK_ENDLESS,,Атаковать,Attack
TID_LEVEL_TRY_COUNT_POPOVER,,Ты сыграл в этот уровень <NUM> раз(-а).,You have played this level <NUM> times.
TID_LEVEL_TRY_COUNT_POPOVER_SINGULAR,,Ты сыграл в этот уровень <NUM> раз.,You have played this level <NUM> times.
TID_LEVEL_LAST_PLAY_TIME,,Ваша последняя игра была <TIME> назад.,Your last play was <TIME> ago.
TID_LEVEL_COMPLETION_PERCENTAGE_POPOVER,,В лучшей попытке ты прошел <PERCENTAGE>% уровня.,You've completed <PERCENTAGE>% of the level on your best try.
TID_REGION_1_NAME,,Королевство гоблинов,Goblin Kingdom
TID_REGION_2_NAME,,Лавовые Земли,Lava Land
TID_REGION_3_NAME,,Электрические Края,Shock Shores
TID_REGION_4_NAME,,Источники Эликсира,Elixir Springs
TID_REGION_5_NAME,,Лавовые Джунгли,Lava Jungle
TID_REGION_6_NAME,,Костяной Пляж,Boneyard Beach
TID_MAP_NODE_1_NAME,,Подозрительный Пляж,Shifty Beach
TID_MAP_NODE_2_NAME,,Пальмовый Банк,Palmtree Bank
TID_MAP_NODE_3_NAME,,Небезопасный Островок,Unsafe Island
TID_MAP_NODE_4_NAME,,Укреплённый Риф,Armored Cay
TID_MAP_NODE_5_NAME,,Риф Пушечного Ядра,Cannonball Reef
TID_MAP_NODE_6_NAME,,Тотемные Высоты ,Totem Heights
TID_MAP_NODE_7_NAME,,Оборонительный Холм,Howitzer Hill
TID_MAP_NODE_8_NAME,,Фатальная Точка,Fatal Point
TID_MAP_NODE_9_NAME,,Загадочное Убежище,Shady Shelter
TID_MAP_NODE_10_NAME,,Жаренный Камень,Roaster Rock
TID_MAP_NODE_11_NAME,,Горячие Высоты,Red-Hot Heights
TID_MAP_NODE_12_NAME,,Банк Магмы,Magma Bank
TID_MAP_NODE_13_NAME,,Горячая Точка,Hot Pot
TID_MAP_NODE_14_NAME,,Бассейн П.Е.К.К.И.,P.E.K.K.A's Pool
TID_MAP_NODE_15_NAME,,Горячая Гора,Burnmark Mountain
TID_MAP_NODE_16_NAME,,Острый Обрыв,Pointy Ridge
TID_MAP_NODE_17_NAME,,Косточистка,Bone Pickin's
TID_MAP_NODE_18_NAME,,Лавовый Череп,Scorching Skull
TID_MAP_NODE_19_NAME,,Усиленный Заряд,Mount Charge
TID_MAP_NODE_20_NAME,,Утолщённый Камень,Reinforced Rock
TID_MAP_NODE_21_NAME,,Электрическая Гора,Electro Mound
TID_MAP_NODE_22_NAME,,Кактусовый Холм,Cactus Hill
TID_MAP_NODE_23_NAME,,Шокирующий Склон,Shocker Slope
TID_MAP_NODE_24_NAME,,Точечный Разряд,Point Spark
TID_MAP_NODE_25_NAME,,Риф Теслы,Tesla Cay
TID_MAP_NODE_26_NAME,,Заряженный Остров,Zap Atoll
TID_MAP_NODE_27_NAME,,Дикий Хребет,Ridge Savage
TID_MAP_NODE_28_NAME,,Вершина Башни,Tower Top
TID_MAP_NODE_29_NAME,,Еловая Скала,Pine Rock
TID_MAP_NODE_30_NAME,,Холмы Сокровищ,Hoarder Hills
TID_MAP_NODE_31_NAME,,Хрустальная Бухта,Crystal Cove
TID_MAP_NODE_32_NAME,,Обзорный Остров,Viewpoint Skerry
TID_MAP_NODE_33_NAME,,Варочный Холм,Brewholm
TID_MAP_NODE_34_NAME,,Склад Эликсира,Elixir Depot
TID_MAP_NODE_35_NAME,,Укреплённая Бочка,Mount Keg
TID_MAP_NODE_36_NAME,,Груда Кристаллов,Glass Cutter Heap
TID_MAP_NODE_37_NAME,,Магмовая Шахта,Magma Heights
TID_MAP_NODE_38_NAME,,Монумент П.Е.К.К.А.,P.E.K.K.A's Place
TID_MAP_NODE_39_NAME,,Потоки Лавы,Lava Flows
TID_MAP_NODE_40_NAME,,Адская Пропасть,Hell's Sink
TID_MAP_NODE_41_NAME,,Сгоревший Утёс,Burnt Ridges
TID_MAP_NODE_42_NAME,,Горячая Хижина,Hot Hut
TID_MAP_NODE_43_NAME,,Выбери-Бассейн,Pick-A-Pool
TID_MAP_NODE_44_NAME,,Ослепительный Взгляд,Glaring Gaze
TID_MAP_NODE_45_NAME,,Шипящий Островок,Sizzle Isle
TID_MAP_NODE_46_NAME,,Костяной Гамак,Bone Hammock
TID_MAP_NODE_47_NAME,,Скованная Гончая,Mount Hound
TID_MAP_NODE_48_NAME,(!),Hard Horn Hill,Hard Horn Hill
TID_MAP_NODE_49_NAME,,Lucky Lagoon,Lucky Lagoon
TID_MAP_NODE_50_NAME,,Prickly Plateau,Prickly Plateau
TID_MAP_NODE_51_NAME,,Sun-bake Summit,Sun-bake Summit
TID_MAP_NODE_52_NAME,,Bone Bazar,Bone Bazar
TID_MAP_NODE_53_NAME,,Diggy Dig Mesa,Diggy Dig Mesa
TID_MAP_NODE_54_NAME,,Sandy Crevices,Sandy Crevices
TID_MAP_NODE_55_NAME,,Carpal Cove,Carpal Cove
TID_MAP_NODE_56_NAME,,Roasty Ribs,Roasty Ribs
TID_MAP_NODE_57_NAME,,Areca Island,Areca Island
TID_MAP_NODE_58_NAME,,Canine Boulder,Canine Boulder
TID_MAP_NODE_59_NAME,,Placeholder name for node 59,Placeholder name for node 59
TID_MAP_NODE_60_NAME,,Placeholder name for node 60,Placeholder name for node 60
TID_MAP_NODE_61_NAME,,Placeholder name for node 61,Placeholder name for node 61
TID_MAP_NODE_62_NAME,,Placeholder name for node 62,Placeholder name for node 62
TID_MAP_NODE_63_NAME,,Placeholder name for node 63,Placeholder name for node 63
TID_MAP_NODE_64_NAME,,Placeholder name for node 64,Placeholder name for node 64
TID_MAP_NODE_65_NAME,,Placeholder name for node 65,Placeholder name for node 65
TID_MAP_NODE_66_NAME,,Placeholder name for node 66,Placeholder name for node 66
TID_MAP_NODE_67_NAME,,Placeholder name for node 67,Placeholder name for node 67
TID_MAP_NODE_68_NAME,,Placeholder name for node 68,Placeholder name for node 68
TID_MAP_NODE_69_NAME,,Placeholder name for node 69,Placeholder name for node 69
TID_TAB_QUEST,,Квесты,Quest
TID_TAB_SQUAD,,Воины,Crew
TID_TAB_DAILY_CHALLENGE,,Лига,League
TID_TAB_SOCIAL,,Социум,Friends
TID_TAB_SOCIAL_OFFLINE,,Войдите онлайн для доступа,Go online to access Social
TID_TAB_SHOP,,Магазин,Shop
TID_TAB_SHOP_OFFLINE,,Войдите онлайн для доступа,Go online to access Shop
TID_WARNING_LEVEL_NOT_REACHED,,"Вы должны пройти предыдущий Уровень, чтобы открыть этот!",You must beat earlier levels before advancing here!
TID_WARNING_NODE_NOT_REACHED,,"Вы должны пройти предыдущий остров, чтобы открыть это!",You must beat earlier Islands before advancing here!
TID_WARNING_NODE_REQUIREMENTS_NOT_MET,,You must collect earlier unlocks before advancing here!,You must collect earlier unlocks before advancing here!
TID_WARNING_NODE_NOT_CLEARED,,Вы должны получить ВСЕ <c833939>Звездные Сундуки</c> с этого острова для получения этой награды!\n\n<c833939>Звездных Сундуков</c> получено:\n<current>/<total>,You must get ALL <c833939>Star Chests</c> from the Island before you can get this reward!\n\n<c833939>Star Chests</c> collected:\n<current>/<total>
TID_WARNING_NODE_REWARD_ALREADY_CLAIMED,,Вы уже получили эту награду!,You've already claimed this reward!
TID_WARNING_NODE_NOT_ENOUGH_STARS,,"Вы должны получить больше <c833939>Звездных Сундуков</c> для доступа к этому уровню!\n\nВам нужно <needed>, но вы имеете только <total>.","You must collect more <c833939>Star Chests</c> before advancing here!\n\nYou need <needed> to advance, but you only have <total>."
TID_CARD_BARBARIAN,,Варвар,Barbarian
TID_CARD_BARBARIAN_DESCRIPTION,,"Варвар не особо тщательно выбирает цель - он рад избить ближайшую цель, несмотря на то, чем она может быть.","Barbarian isn't picky when it comes to choosing targets - he's happy to strike the closest enemy, whatever that may be."
TID_CARD_ARCHER,,Лучница,Archer
TID_CARD_ARCHER_DESCRIPTION,,"Лучницы стреляют в ближайшую цель, даже несмотря на стену.","Archer shoots an arrow to the closest target, even over the walls."
TID_CARD_GIANT,,Гигант,Giant
TID_CARD_GIANT_DESCRIPTION,,"Гиганты сначала разрушают защитные сооружения. Когда они с ними покончат, они переключаются на ближайшую цель слева. Этот большой парень может нанести такой же большой урон.","Giant attacks defense buildings first. When those are taken care of, he heads towards whatever is left on the battlefield. As a big guy, he can soak up a lot of damage."
TID_CARD_WIZARD,,Колдун,Wizard
TID_CARD_WIZARD_DESCRIPTION,,"Колдун создает огненный шар и кидает его в ближайших врагов. Если там, куда он его кинул, есть другой враг, то он тоже получает урон.","Wizard casts a fireball at the closest enemy. If there happens to be other enemies nearby, they get their share of the fiery blast too."
TID_CARD_SPEAR_GOBLIN,,Гоблин-Копейщик,Spear Goblin
TID_CARD_SPEAR_GOBLIN_DESCRIPTION,,Spear Goblin description goes here.,Spear Goblin description goes here.
TID_CARD_PRINCE,,Принц,Prince
TID_CARD_PRINCE_DESCRIPTION,,"Принц направляется прямиком вперед к своей цели, при этом нанося не детский урон... Если, конечно, на его пути кто-то есть...","Prince charges straight ahead, dealing a good deal of damage to the enemy foolish enough to be standing on his way... if any actually do stand on his way."
TID_CARD_PEKKA,,П.Е.К.К.А.,P.E.K.K.A
TID_CARD_PEKKA_DESCRIPTION,,"П.Е.К.К.А. наносит приличный урон ближайшему врагу. Его (или ее, кто его знает) броня может выдержать большое количество урона.","P.E.K.K.A deals a great amount of damage to the closest enemy. Due to her heavy armoring, she can also withstand a lot of enemy fire."
TID_CARD_BOMBER,,Бомбер,Bomber
TID_CARD_BOMBER_DESCRIPTION,,"Бомбер кидает бомбу на сторону врага, нанося дополнительный урон стенам. Из-за его монотонной тренировки он может кидать бомбу только прямо.","Bomber chucks a bomb to the enemy side of the battlefield, dealing extra damage to walls. Due to monotonous training, he can only hit the spot exactly parallel to where he's standing."
TID_CARD_GOBLIN,,Гоблин,Goblin
TID_CARD_GOBLIN_DESCRIPTION,,"Гоблины в первую очередь атакуют Хранилища Золота, при этом нанося им двойной урон. Когда Хранилищ не остается, то он атакует ближайшую цель.","Goblin is attracted to gold, first and foremost, and deals double damage to gold storages. When there are no gold storages left, he attacks whatever enemy is the closest."
TID_CARD_BABY_DRAGON,,Дракончик,Baby Dragon
TID_CARD_BABY_DRAGON_DESCRIPTION,,"Дракончик пролетает над полем боя и атакует только по прямой, дыша огнем на всех врагов на своем пути.",Baby Dragon flies above the battlefield and attacks straight across the battlefield - breathing fire on all enemies along the way.
TID_CARD_FIREBALL,,Огненный шар,Fireball
TID_CARD_FIREBALL_DESCRIPTION,,Этот шар из огня наносит урон по 3х3 области.,A ball of fire that deals damage to a 3x3 area.
TID_CARD_ZAP,,Молния,Zap
TID_CARD_ZAP_DESCRIPTION,,Молния наносит урон и оглушает врагов на несколько ходов.,Zap deals damage and stuns enemies for few turns.
TID_CARD_LOG,,Бревно,The Log
TID_CARD_LOG_DESCRIPTION,,"Бревно прокатывается через поле битвы, нанося урон всем, кто находится на его пути.","The Log rolls through the battlefield, dealing damage to enemies along its path."
TID_CARD_ROCKET,,Ракета,Rocket
TID_CARD_ROCKET_DESCRIPTION,,Ракета наносит очень большой урон единичной цели.,Rocket deals very high damage to a single target.
TID_CARD_RUSH,,Атака,Rush
TID_CARD_RUSH_DESCRIPTION,,"Атака с одним воином, который наносит двойной урон без траты хода!","Attack with a single troop with triple damage, without spending your turn!"
TID_CARD_RETREAT,,Отступление,Retreat
TID_CARD_RETREAT_DESCRIPTION,,Воин возвращается в лагерь. Он полностью восполняет свое здоровье перед возвращением на поле!,Pull a troop back to your reserves. The troop gets fully healed before rejoining the battle!
TID_CARD_STEP,,Смена,Swap
TID_CARD_STEP_DESCRIPTION,,Меняет положение двух воинов или перемещает его на свободную клетку рядом.,"Swap the placing of two adjacent troops, or move a unit to an empty square next to it."
TID_CARD_CHARGE,,Ярость,Charge
TID_CARD_CHARGE_DESCRIPTION,,"Атака из всех воинов одного типа, несмотря на их положения на поле.","Attack with all troops of the same type, regardless of their location on the battlefield."
TID_CARD_HEAL,,Лечение,Bless
TID_CARD_HEAL_DESCRIPTION,,"Увеличивает максимальное значение здоровья у выбранного воина, а также полностью восполняет его.","Increases maximum Health points of a selected troop, and then fully heals them."
TID_CARD_MINION,,Миньон,Minion
TID_CARD_MINION_DESCRIPTION,,"Миньоны - летающие воины, которые атакуют ближайших врагов.",Minions are flying troops that attack the closest enemy on the battlefield.
TID_CARD_FRONTLINE,,Граница,Frontline
TID_CARD_FRONTLINE_DESCRIPTION,,Перемещает выбранного воина к границе ряда ряда.,Pushes the selected troop to the front of the Column.
,,,
TID_CARD_MAX_LEVEL,,МАКС. УРОВЕНЬ,MAX LEVEL
TID_CARD_LEVEL_COLOR,,<caaaaaa>Уровень</c> <level>,<caaaaaa>Level</c> <level>
TID_STAGE_CLEARED_HEADER,,<number> стадия из <total>,Stage <number>/<total>
TID_STAGE_CLEARED_HEADER_ENDLESS,,Стадия <number>,Stage <number>
TID_STAGE_CLEARED_FOOTER,,ПРОЙДЕНО!,CLEARED!
TID_ENERGY_DUMPED_FOOTER,,ИЗУЧЕН,EXPLORED!
TID_LEVEL_END_HEADER,,ТЫ ПРОШЕЛ,YOU CLEARED
TID_LEVEL_END_HEADER_DUNGEON,,ТЫ ЗАЧИСТИЛ,YOU'VE CLEARED
TID_LEVEL_END_HEADER_COMPLETED,,УРОВЕНЬ,LEVEL
TID_LEVEL_END_HEADER_COMPLETED_DUNGEON,,ПОДЗЕМЕЛЬЕ,DUNGEON
TID_LEVEL_END_HEADER_BOSS_VICTORY,,ТЫ ОДОЛЕЛ,YOU DEFEATED THE
TID_LEVEL_END_HEADER_BOSS_DEFEAT,,ТЕБЯ ОДОЛЕЛ,YOU LOST TO THE
TID_LEVEL_END_MAIN,,<number> из <total> стадий,<number>/<total> stages
TID_LEVEL_END_MAIN_SINGULAR,,<number> из 1 стадии,<number>/1 stage
TID_LEVEL_END_MAIN_COMPLETED,,ПРОЙДЕНО,COMPLETED!
TID_LEVEL_END_MAIN_ENDLESS,,<number> стадий,<number> stages
TID_LEVEL_END_MAIN_ENDLESS_SINGULAR,,1 стадия,1 stage
TID_LEVEL_END_ENDLESS_DEFENSES,,<number> защ. сооруж.,<number> defenses
TID_LEVEL_END_ENDLESS_DEFENSES_SINGULAR,,1 защ. сооруж.,1 defense
TID_CHEST_GAINED,,,
TID_NEXT_LEVEL_UNLOCKED,,Открыт следующий уровень!,Next level unlocked!
TID_NEXT_NODE_UNLOCKED,,Остров открыт!,Island unlocked!
TID_NEXT_NODES_UNLOCKED,,Острова открыты!,Islands unlocked!
TID_NEW_HIGHSCORE,,Новый рекорд!,New highscore!
TID_BOSS_NAME_LAVAGOLEM,,Лавовый Голем,Lava Golem
TID_BOSS_NAME_PAPADRAGON,,Папа Дракон,Papa Dragon
TID_BOSS_NAME_GOBLIN,,Король Гоблинов,Goblin King
TID_BOSS_NAME_WITCH,,Королева Ведьм,Witch Queen
TID_BOSS_NAME_LAVAHOUND,,Адская Гончая,Lava Hound
TID_GOLD,,Золото,Gold
TID_ELIXIR,,Эликсир,Elixir
TID_STAR,,Звезда,Star
TID_CLAN_POINTS,,Clan Points,Clan Points
TID_INFO_CLAN_POINTS,(!),Collect Clan Points from Clan Quests. Defeating harder Quests will give your clan more Clan points!,Collect Clan Points from Clan Quests. Defeating harder Quests will give your clan more Clan points!
TID_NOT_ENOUGH_ELIXIR,,Вам нужно больше <cFD35ED>Эликсира</c> для этого улучшения.\n\nПолучите больше <cFD35ED>Эликсира</c> проходя уровни.,You need more <cFD35ED>Elixir</c> for this upgrade.\n\nGet more <cFD35ED>Elixir</c> by clearing levels.
TID_NOT_ENOUGH_GOLD,,Вам нужно больше <cF8A203>Золота</c> Для этого улучшения.\n\nПолучите больше <cF8A203>Золота</c> путем разрушения оборонительных сооружений проьивника.,You need more <cF8A203>Gold</c> for this upgrade.\n\nGet more <cF8A203>Gold</c> by destroying enemy defenses.
TID_NOT_ENOUGH_ENERGY_SCROLL,,У вас недостаточно Квестовых Токенов!,You don't have enough Quest Tokens!
TID_POPUP_NOT_ENOUGH_ENERGY_TITLE,,Энергия Закончилась!,Out of Energy!
TID_POPUP_NOT_ENOUGH_ENERGY_TEXT,,Ты хочешь использовать Квестовый Токен для игры?\n\nУ тебя их <number> штук(-и).,Do you want to use a Quest Token to play?\n\nYou have <number> Quest Tokens.
TID_POPUP_NOT_ENOUGH_ENERGY_TEXT_SINGULAR,,Ты хочешь использовать Квестовый Токен для игры?\n\nУ тебя всего лишь <number> штука.,Do you want to use a Quest Token to play?\n\nYou have <number> Quest Token.
TID_POPUP_NOT_ENOUGH_ENERGY_BUTTON,,Использовать токен,Use Token
TID_POPUP_NOT_ENOUGH_ENERGY_AND_BATTLE_TOKENS_TITLE,,Энергия Закончилась!,Out of Energy!
TID_POPUP_NOT_ENOUGH_ENERGY_AND_BATTLE_TOKENS_TEXT,,У тебя закончилась Энергия и Квестовые Токены.\n\nТы хочешь купить Квестовый Токен?,You're out of Energy and Quest Tokens.\n\nDo you want to buy a Quest Token to play?
TID_POPUP_CHALLENGE_FREE_TRIES_USED_TITLE,,Бесплатная попытка использована!,Free attack used!
TID_POPUP_CHALLENGE_FREE_TRIES_USED_TEXT,,У вас есть 1 бесплатная попытка каждый день. Вы хотите использовать Токен Лиги для игры?\n\nСейчас их у вас <number>.,You have one free attack per day. Do you want to use a League Token to play?\n\nYou have <number> League Tokens.
TID_POPUP_CHALLENGE_FREE_TRIES_USED_TEXT_SINGULAR,,У вас есть 1 бесплатная попытка каждый день. Вы хотите использовать Токен Лиги для игры?\n\nСейчас их у вас <number>.,You have one free attack per day. Do you want to use a League Token to play?\n\nYou have <number> League Token.
TID_POPUP_USE_CHALLENGE_BUTTON,,Использовать токен,Use Token
TID_POPUP_CHALLENGE_FREE_TRIES_AND_CHALLENGE_TOKENS_USED_TEXT,,"У вас нету ни бесплатных попыток, ни Токенов Лиги.",You're out of Free Tries and League Tokens.
TID_POPUP_SHOP_UNLOCKED_TITLE,,Магазин разблокирован!,Shop unlocked!
TID_POPUP_SHOP_UNLOCKED_TEXT,,Хороший прогресс!\n\nТеперь вы можете проверить магазин посмотреть что там.,Good progress on your Quest!\n\nYou can now check what's available in the Shop.
TID_POPUP_ENDLESS_MODE_UNLOCKED_TITLE,,Лига разблокирована!,League unlocked!
TID_POPUP_ENDLESS_MODE_UNLOCKED_TEXT,,Хороший Прогресс!\n\nТеперь ты имеешь доступ к Лиге и возможность попасть на Доску  Лидеров!,Good progress on your Quest!\n\nYou can now access the League and compete in the Leaderboards!
TID_POPUP_CLANS_UNLOCKED_TITLE,,Clan League unlocked!,Clan League unlocked!
TID_POPUP_CLANS_UNLOCKED_TEXT,,Good progress on your Quest!\n\nYou can now access the Clan League and compete in the Leaderboards!,Good progress on your Quest!\n\nYou can now access the Clan League and compete in the Leaderboards!
TID_CLAN_NOT_IN_LEAGUE,,Joining Clan League requires <REQUIREMENT> members. Current clan size <SIZE>,Joining Clan League requires <REQUIREMENT> members. Current clan size <SIZE>
TID_AREA_ATTACK,,Урон по Области,Area Attack
TID_HEALTH,,Здоровье,Health
TID_STUN,,Оглушающие ходы,Stun turns
TID_BUTTON_UPGRADE,,Улучшить,Upgrade
TID_ITEMS,,Предметы,Items
TID_STATS,,Статистика,Stats
TID_MAX_CAP,,/<VALUE>,/<VALUE>
TID_BUTTON_EQUIP,,Надеть,Equip
TID_BUTTON_CLOSE,,Закрыть,Close
TID_EQUIPPED,,Надето,Equipped
TID_EQUIPPED_UPPER_CASE,,НАДЕТО,EQUIPPED
TID_ALREADY_EQUIPPED,,Уже Надето!,Already equipped!
TID_ITEM_UNAVAILABLE,,Вы еще не нашли этот предмет!,You haven't found this item yet!
TID_ITEM_REQUIREMENT,,x Комбо требуется,x combo required.
TID_ITEM_REQUIREMENT_ACTIVE,,Атакуйте с <NUMBER> или большим кол-вом воинов для активации предмета.,Attack with <NUMBER> or more units to activate the item power.
TID_ITEM_REQUIREMENT_PASSIVE,,Создайте группу из <NUMBER> или большего кол-ва воинов для активации предмета.,Build a group of <NUMBER> or more units on your board to activate the item power.
TID_BADGE_NEW,,НОВОЕ,NEW
TID_CAP_EXPLANATION_SINGULAR,,У вас 1 <NAME> из максимальных <MAX>.,"You have 1 <NAME> in your Crew, out of maximum of <MAX>."
TID_CAP_EXPLANATION,,У вас <NUMBER> из максимальных <MAX>.,"You have <NUMBER> <NAME>s in your Crew, out of maximum of <MAX>."
TID_QUEST_DESCRIPTION_BARREL,,"Команда Бомберов заминировала базу взрывными бочками. Тебе положена хорошая награда, если ты разберешься с ними! Правда, вся территория взлетит на воздух после битвы...","A squad of Bombers has rigged the base with explosive barrels. There's a nice reward for taking care of them! But beware, the rest will flee after the fight!"
TID_QUEST_DESCRIPTION_WAGON,,Гоблины-Копейщики перевозят вагон с сокровищами. У тебя есть шанс разбогатеть!,Spear Goblins are escorting a treasure wagon through the base. Now would be a good time to relieve them of the burden!
TID_BUTTON_TEMP_UNIT,,Не найдено,Temp Unit
TID_CARD_NOT_YET_UNLOCKED,,"Вы еще не нашли этого воина, но вы можете использовать его в сегодняшних битвах Лиги!","You haven't found this unit yet, but you can use it in today's League battles!"
TID_BUTTON_MAXED,,Достигнут Максимум!,Maxed Out!
TID_HEADER_YOUR_ARMY,,Ваши Воины,Your Army
TID_HEADER_SPELLS_AND_TACTICS,,Заклинания & Книги,Spells & Tactics
TID_HEADER_REWARDS,,Награды,Rewards
TID_HEADER_REINFORCEMENTS,,Воинов Подкрепления,Refill units
TID_HEADER_SELECT_REINFORCEMENTS,,Выберите Подкрепление,Select a refill
TID_HEADER_SELECT_REFILL_SPELL,,Выберите Заклинание,Select a refill
TID_HEADER_SELECT_REFILL_UNIT,,Выберите Подкрепление,Select a refill
TID_HEADER_SELECT_REFILL_TACTIC,,Выберите Книгу,Select a refill
TID_CHEST_ALREADY_OPENED,,Вы уже получили награду из этого сундука,You´ve already looted this Chest.
TID_CHEST_AVAILABLE,,"Получите этот сундук, пройдя стадию <number>.",Get this Chest by clearing stage <number>.
